anime_id,name,genre,type,episodes,rating,members
1,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
5114,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572
38524,Shingeki no Kyojin Season 3 Part 2,"Action, Drama, Fantasy, Military, Mystery, Shounen",TV,10,9.07,1329507
11061,Hunter x Hunter (2011),"Action, Adventure, Fantasy, Shounen, Super Power",TV,148,9.13,725116
1535,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",TV,37,8.71,1013917
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572884
1575,Code Geass: Hangyaku no Lelouch,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.83,715151
16498,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",TV,25,8.54,896229
13601,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",TV,22,8.5,408039
20583,Haikyuu!!,"Comedy, Drama, School, Shounen, Sports",TV,25,8.68,247531
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630
457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,147676
20,Naruto,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,220,7.81,483032
1735,Naruto: Shippuuden,"Action, Comedy, Martial Arts, Shounen, Super Power",TV,500,8.16,533578
21,One Piece,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",TV,1000,8.54,423868
15335,Chihayafuru 2,"Drama, Game, Josei, Slice of Life, Sports",TV,25,8.52,65963
31964,Boku no Hero Academia,"Action, Comedy, School, Shounen, Super Power",TV,13,8.36,394201
33486,Boku no Hero Academia 2nd Season,"Action, Comedy, School, Shounen, Super Power",TV,25,8.75,239557
19815,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",TV,12,8.47,483164
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.05,356230
2167,Clannad,"Comedy, Drama, Romance, School, Slice of Life, Supernatural",TV,23,8.3,482214
11771,Kuroko no Basket,"Comedy, School, Shounen, Sports",TV,25,8.43,278355
18679,Kill la Kill,"Action, Comedy, Ecchi, School, Super Power",TV,24,8.23,377141
22535,Kiseijuu: Sei no Kakuritsu,"Action, Drama, Horror, Psychological, Sci-Fi, Seinen",TV,24,8.59,425409
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397
24405,World Trigger,"Action, School, Sci-Fi, Shounen, Supernatural",TV,73,7.62,102345
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,296230
31240,Re:Zero kara Hajimeru Isekai Seikatsu,"Drama, Fantasy, Psychological, Thriller",TV,25,8.71,412345
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,123456
32998,91 Days,"Action, Drama, Historical",TV,12,7.97,154321
33206,Kobayashi-san Chi no Maid Dragon,"Comedy, Fantasy, Slice of Life",TV,13,8.15,234567
34572,Black Clover,"Action, Comedy, Fantasy, Magic, Shounen",TV,170,8.12,345678
35839,Sora yori mo Tooi Basho,"Adventure, Comedy, Drama",TV,13,8.62,123456
37521,Vinland Saga,"Action, Adventure, Drama, Historical, Seinen",TV,24,8.81,234567
38000,Kimetsu no Yaiba,"Action, Demons, Historical, Shounen, Supernatural",TV,26,8.62,567890
40028,Shingeki no Kyojin: The Final Season,"Action, Drama, Fantasy, Military, Mystery, Shounen",TV,16,8.91,456789
40748,Jujutsu Kaisen,"Action, Demons, Horror, School, Shounen, Supernatural",TV,24,8.75,678901
41467,Bleach: Sennen Kessen-hen,"Action, Adventure, Fantasy, Shounen, Super Power",TV,13,9.07,123456
42246,Made in Abyss: Retsujitsu no Ougonkyou,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",TV,12,8.78,98765
44511,Chainsaw Man,"Action, Adventure, Demons, Shounen",TV,12,8.65,543210
48561,Jujutsu Kaisen 2nd Season,"Action, Demons, School, Shounen, Supernatural",TV,23,8.82,432109
50265,Spy x Family,"Action, Comedy, Shounen",TV,12,8.65,654321
51009,Oshi no Ko,"Drama, Mystery, Supernatural",TV,11,8.72,321098
52991,Sousou no Frieren,"Adventure, Drama, Fantasy",TV,28,9.39,210987
54112,Zom 100: Zombie ni Naru made ni Shitai 100 no Koto,"Action, Comedy, Horror, Seinen, Supernatural",TV,12,8.02,109876
