mal_id,name,english_name,japanese_name,score,genres,type,episodes,aired,premiered,release_year,release_season,producers,studios,source,duration,rating,ranked,popularity,members,favorites,synopsis,img_url,weighted_score,log_members,log_favorites,primary_genre,content_soup,genres_list,score_norm
1535,Death Note,Death Note,デスノート,8.63,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen",TV,37.0,"Oct 4, 2006 to Jun 27, 2007",Fall 2006,2006,Fall,"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",Madhouse,Manga,23 min. per ep.,R - 17+ (violence & profanity),60.0,1,2589552,145201,"shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a Death Note. One day, Ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a Death Note, drops one into the human realm. High school student and prodigy Light Yagami stumbles upon the Death Note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. When the criminal dies immediately following his experiment with the Death Note, Light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be. With this divine capability, Light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. Police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. To do this, the Japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of L.",https://cdn.myanimelist.net/images/anime/9/9453.jpg,8.6,14.767,11.8859,Mystery,"death note tv source: manga studio: madhouse mystery, police, psychological, supernatural, thriller, shounen shinigami, as a god of death, can kill any person—provided they see their victim's face and write their victim's name in a notebook called a death note. one day, ryuk, bored by the shinigami lifestyle and interested in seeing how a human would use a death note, drops one into the human realm. high school student and prodigy light yagami stumbles upon the death note and—since he deplores the state of the world—tests the deadly notebook by writing a criminal's name in it. when the criminal dies immediately following his experiment with the death note, light is greatly surprised and quickly recognizes how devastating the power that has fallen into his hands could be. with this divine capability, light decides to extinguish all criminals in order to build a new world where crime does not exist and people worship him as a god. police, however, quickly discover that a serial killer is targeting criminals and, consequently, try to apprehend the culprit. to do this, the japanese investigators count on the assistance of the best detective in the world: a young and eccentric man known only by the name of l.","['Mystery', 'Police', 'Psychological', 'Supernatural', 'Thriller', 'Shounen']",0.9237
16498,Shingeki no Kyojin,Attack on Titan,進撃の巨人,8.48,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen",TV,25.0,"Apr 7, 2013 to Sep 29, 2013",Spring 2013,2013,Spring,"Production I.G, Dentsu, Mainichi Broadcasting System, Pony Canyon, Kodansha, Mad Box, Pony Canyon Enterprise",Wit Studio,Manga,24 min. per ep.,R - 17+ (violence & profanity),115.0,2,2531397,129844,"Centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. What makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. To ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. However, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. After witnessing a horrific personal loss at the hands of the invading creatures, Eren Yeager dedicates his life to their eradication by enlisting into the Survey Corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. Based on Hajime Isayama's award-winning manga, Shingeki no Kyojin follows Eren, along with his adopted sister Mikasa Ackerman and his childhood friend Armin Arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached.",https://cdn.myanimelist.net/images/anime/10/47347.jpg,8.45,14.7443,11.7741,Action,"shingeki no kyojin attack on titan tv source: manga studio: wit studio action, military, mystery, super power, drama, fantasy, shounen centuries ago, mankind was slaughtered to near extinction by monstrous humanoid creatures called titans, forcing humans to hide in fear behind enormous concentric walls. what makes these giants truly terrifying is that their taste for human flesh is not born out of hunger but what appears to be out of pleasure. to ensure their survival, the remnants of humanity began living within defensive barriers, resulting in one hundred years without a single titan encounter. however, that fragile calm is soon shattered when a colossal titan manages to breach the supposedly impregnable outer wall, reigniting the fight for survival against the man-eating abominations. after witnessing a horrific personal loss at the hands of the invading creatures, eren yeager dedicates his life to their eradication by enlisting into the survey corps, an elite military unit that combats the merciless humanoids outside the protection of the walls. based on hajime isayama's award-winning manga, shingeki no kyojin follows eren, along with his adopted sister mikasa ackerman and his childhood friend armin arlert, as they join the brutal war against the titans and race to discover a way of defeating them before the last walls are breached.","['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",0.9033
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist:Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,9.19,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen",TV,64.0,"Apr 5, 2009 to Jul 4, 2010",Spring 2009,2009,Spring,"Aniplex, Square Enix, Mainichi Broadcasting System, Studio Moriken",Bones,Manga,24 min. per ep.,R - 17+ (violence & profanity),1.0,3,2248456,183914,"""In order for something to be obtained, something of equal value must be lost."" Alchemy is bound by this Law of Equivalent Exchange—something the young brothers Edward and Alphonse Elric only realize after attempting human transmutation: the one forbidden act of alchemy. They pay a terrible price for their transgression—Edward loses his left leg, Alphonse his physical body. It is only by the desperate sacrifice of Edward's right arm that he is able to affix Alphonse's soul to a suit of armor. Devastated and alone, it is the hope that they would both eventually return to their original bodies that gives Edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the Fullmetal Alchemist. Three years of searching later, the brothers seek the Philosopher's Stone, a mythical relic that allows an alchemist to overcome the Law of Equivalent Exchange. Even with military allies Colonel Roy Mustang, Lieutenant Riza Hawkeye, and Lieutenant Colonel Maes Hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive Philosopher's Stone, but their country's murky history as well. In between finding a serial killer and racing against time, Edward and Alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.",https://cdn.myanimelist.net/images/anime/1223/96541.jpg,9.14,14.6258,12.1222,Action,"fullmetal alchemist: brotherhood fullmetal alchemist:brotherhood tv source: manga studio: bones action, military, adventure, comedy, drama, magic, fantasy, shounen ""in order for something to be obtained, something of equal value must be lost."" alchemy is bound by this law of equivalent exchange—something the young brothers edward and alphonse elric only realize after attempting human transmutation: the one forbidden act of alchemy. they pay a terrible price for their transgression—edward loses his left leg, alphonse his physical body. it is only by the desperate sacrifice of edward's right arm that he is able to affix alphonse's soul to a suit of armor. devastated and alone, it is the hope that they would both eventually return to their original bodies that gives edward the inspiration to obtain metal limbs called ""automail"" and become a state alchemist, the fullmetal alchemist. three years of searching later, the brothers seek the philosopher's stone, a mythical relic that allows an alchemist to overcome the law of equivalent exchange. even with military allies colonel roy mustang, lieutenant riza hawkeye, and lieutenant colonel maes hughes on their side, the brothers find themselves caught up in a nationwide conspiracy that leads them not only to the true nature of the elusive philosopher's stone, but their country's murky history as well. in between finding a serial killer and racing against time, edward and alphonse must ask themselves if what they are doing will make them human again... or take away their humanity.","['Action', 'Military', 'Adventure', 'Comedy', 'Drama', 'Magic', 'Fantasy', 'Shounen']",1.0
11757,Sword Art Online,Sword Art Online,ソードアート・オンライン,7.25,"Action, Game, Adventure, Romance, Fantasy",TV,25.0,"Jul 8, 2012 to Dec 23, 2012",Summer 2012,2012,Summer,"Aniplex, Genco, DAX Production, ASCII Media Works, Bandai Namco Games",A-1 Pictures,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,2584.0,4,2214395,66342,"In the year 2022, virtual reality has progressed by leaps and bounds, and a massive online role-playing game called Sword Art Online (SAO) is launched. With the aid of ""NerveGear"" technology, players can control their avatars within the game using nothing but their own thoughts. Kazuto Kirigaya, nicknamed ""Kirito,"" is among the lucky few enthusiasts who get their hands on the first shipment of the game. He logs in to find himself, with ten-thousand others, in the scenic and elaborate world of Aincrad, one full of fantastic medieval weapons and gruesome monsters. However, in a cruel turn of events, the players soon realize they cannot log out; the game's creator has trapped them in his new world until they complete all one hundred levels of the game. In order to escape Aincrad, Kirito will now have to interact and cooperate with his fellow players. Some are allies, while others are foes, like Asuna Yuuki, who commands the leading group attempting to escape from the ruthless game. To make matters worse, Sword Art Online is not all fun and games: if they die in Aincrad, they die in real life. Kirito must adapt to his new reality, fight for his survival, and hopefully break free from his virtual hell.",https://cdn.myanimelist.net/images/anime/11/39717.jpg,7.24,14.6105,11.1026,Action,"sword art online tv source: light novel studio: a-1 pictures action, game, adventure, romance, fantasy in the year 2022, virtual reality has progressed by leaps and bounds, and a massive online role-playing game called sword art online (sao) is launched. with the aid of ""nervegear"" technology, players can control their avatars within the game using nothing but their own thoughts. kazuto kirigaya, nicknamed ""kirito,"" is among the lucky few enthusiasts who get their hands on the first shipment of the game. he logs in to find himself, with ten-thousand others, in the scenic and elaborate world of aincrad, one full of fantastic medieval weapons and gruesome monsters. however, in a cruel turn of events, the players soon realize they cannot log out; the game's creator has trapped them in his new world until they complete all one hundred levels of the game. in order to escape aincrad, kirito will now have to interact and cooperate with his fellow players. some are allies, while others are foes, like asuna yuuki, who commands the leading group attempting to escape from the ruthless game. to make matters worse, sword art online is not all fun and games: if they die in aincrad, they die in real life. kirito must adapt to his new reality, fight for his survival, and hopefully break free from his virtual hell.","['Action', 'Game', 'Adventure', 'Romance', 'Fantasy']",0.7357
30276,One Punch Man,One Punch Man,ワンパンマン,8.57,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural",TV,12.0,"Oct 5, 2015 to Dec 21, 2015",Fall 2015,2015,Fall,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, JR East Marketing & Communications",Madhouse,Web manga,24 min. per ep.,R - 17+ (violence & profanity),81.0,5,2123866,54435,"The seemingly ordinary and unimpressive Saitama has a rather unique hobby: being a hero. In order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. Now, Saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. In fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored. This all changes with the arrival of Genos, a 19-year-old cyborg, who wishes to be Saitama's disciple after seeing what he is capable of. Genos proposes that the two join the Hero Association in order to become certified heroes that will be recognized for their positive contributions to society, and Saitama, shocked that no one knows who he is, quickly agrees. And thus begins the story of One Punch Man , an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.",https://cdn.myanimelist.net/images/anime/12/76049.jpg,8.53,14.5687,10.9048,Action,"one punch man tv source: web manga studio: madhouse action, sci-fi, comedy, parody, super power, supernatural the seemingly ordinary and unimpressive saitama has a rather unique hobby: being a hero. in order to pursue his childhood dream, he trained relentlessly for three years—and lost all of his hair in the process. now, saitama is incredibly powerful, so much so that no enemy is able to defeat him in battle. in fact, all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored. this all changes with the arrival of genos, a 19-year-old cyborg, who wishes to be saitama's disciple after seeing what he is capable of. genos proposes that the two join the hero association in order to become certified heroes that will be recognized for their positive contributions to society, and saitama, shocked that no one knows who he is, quickly agrees. and thus begins the story of one punch man , an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe, he'll become popular in the process.","['Action', 'Sci-Fi', 'Comedy', 'Parody', 'Super Power', 'Supernatural']",0.9155
31964,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,8.11,"Action, Comedy, School, Shounen, Super Power",TV,13.0,"Apr 3, 2016 to Jun 26, 2016",Spring 2016,2016,Spring,"Dentsu, Mainichi Broadcasting System, Movic, TOHO animation, Shueisha",Bones,Manga,24 min. per ep.,PG-13 - Teens 13 or older,400.0,6,1909814,50005,"The appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. This leaves the remainder of the world completely powerless, and Izuku Midoriya is one such individual. Since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. Izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. But it seems that his persistence has borne some fruit: Izuku meets the number one hero and his personal idol, All Might. All Might's quirk is a unique ability that can be inherited, and he has chosen Izuku to be his successor! Enduring many months of grueling training, Izuku enrolls in UA High, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. With his bizarre but talented classmates and the looming threat of a villainous organization, Izuku will soon learn what it really means to be a hero.",https://cdn.myanimelist.net/images/anime/10/78745.jpg,8.08,14.4625,10.8199,Action,"boku no hero academia my hero academia tv source: manga studio: bones action, comedy, school, shounen, super power the appearance of ""quirks,"" newly discovered super powers, has been steadily increasing over the years, with 80 percent of humanity possessing various abilities from manipulation of elements to shapeshifting. this leaves the remainder of the world completely powerless, and izuku midoriya is one such individual. since he was a child, the ambitious middle schooler has wanted nothing more than to be a hero. izuku's unfair fate leaves him admiring heroes and taking notes on them whenever he can. but it seems that his persistence has borne some fruit: izuku meets the number one hero and his personal idol, all might. all might's quirk is a unique ability that can be inherited, and he has chosen izuku to be his successor! enduring many months of grueling training, izuku enrolls in ua high, a prestigious high school famous for its excellent hero training program, and this year's freshmen look especially promising. with his bizarre but talented classmates and the looming threat of a villainous organization, izuku will soon learn what it really means to be a hero.","['Action', 'Comedy', 'School', 'Shounen', 'Super Power']",0.8529
22319,Tokyo Ghoul,Tokyo Ghoul,東京喰種-トーキョーグール-,7.81,"Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen",TV,12.0,"Jul 4, 2014 to Sep 19, 2014",Summer 2014,2014,Summer,"Marvelous AQL, TC Entertainment, Shueisha",Studio Pierrot,Manga,24 min. per ep.,R - 17+ (violence & profanity),807.0,7,1895488,45519,"Tokyo has become a cruel and merciless city—a place where vicious creatures called ""ghouls"" exist alongside humans. The citizens of this once great metropolis live in constant fear of these bloodthirsty savages and their thirst for human flesh. However, the greatest threat these ghouls pose is their dangerous ability to masquerade as humans and blend in with society. Based on the best-selling supernatural horror manga by Sui Ishida, Tokyo Ghoul follows Ken Kaneki, a shy, bookish college student, who is instantly drawn to Rize Kamishiro, an avid reader like himself. However, Rize is not exactly who she seems, and this unfortunate meeting pushes Kaneki into the dark depths of the ghouls' inhuman world. In a twist of fate, Kaneki is saved by the enigmatic waitress Touka Kirishima, and thus begins his new, secret life as a half-ghoul/half-human who must find a way to integrate into both societies.",https://cdn.myanimelist.net/images/anime/5/64449.jpg,7.78,14.455,10.7259,Action,"tokyo ghoul tv source: manga studio: studio pierrot action, mystery, horror, psychological, supernatural, drama, seinen tokyo has become a cruel and merciless city—a place where vicious creatures called ""ghouls"" exist alongside humans. the citizens of this once great metropolis live in constant fear of these bloodthirsty savages and their thirst for human flesh. however, the greatest threat these ghouls pose is their dangerous ability to masquerade as humans and blend in with society. based on the best-selling supernatural horror manga by sui ishida, tokyo ghoul follows ken kaneki, a shy, bookish college student, who is instantly drawn to rize kamishiro, an avid reader like himself. however, rize is not exactly who she seems, and this unfortunate meeting pushes kaneki into the dark depths of the ghouls' inhuman world. in a twist of fate, kaneki is saved by the enigmatic waitress touka kirishima, and thus begins his new, secret life as a half-ghoul/half-human who must find a way to integrate into both societies.","['Action', 'Mystery', 'Horror', 'Psychological', 'Supernatural', 'Drama', 'Seinen']",0.812
20,Naruto,Naruto,ナルト,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220.0,"Oct 3, 2002 to Feb 8, 2007",Fall 2002,2002,Fall,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,PG-13 - Teens 13 or older,660.0,8,1830540,65586,"oments prior to Naruto Uzumaki's birth, a huge demon known as the Kyuubi, the Nine-Tailed Fox, attacked Konohagakure, the Hidden Leaf Village, and wreaked havoc. In order to put an end to the Kyuubi's rampage, the leader of the village, the Fourth Hokage, sacrificed his life and sealed the monstrous beast inside the newborn Naruto. Now, Naruto is a hyperactive and knuckle-headed ninja still living in Konohagakure. Shunned because of the Kyuubi inside him, Naruto struggles to find his place in the village, while his burning desire to become the Hokage of Konohagakure leads him not only to some great new friends, but also some deadly foes.",https://cdn.myanimelist.net/images/anime/13/17405.jpg,7.88,14.4201,11.0911,Action,"naruto tv source: manga studio: studio pierrot action, adventure, comedy, super power, martial arts, shounen oments prior to naruto uzumaki's birth, a huge demon known as the kyuubi, the nine-tailed fox, attacked konohagakure, the hidden leaf village, and wreaked havoc. in order to put an end to the kyuubi's rampage, the leader of the village, the fourth hokage, sacrificed his life and sealed the monstrous beast inside the newborn naruto. now, naruto is a hyperactive and knuckle-headed ninja still living in konohagakure. shunned because of the kyuubi inside him, naruto struggles to find his place in the village, while his burning desire to become the hokage of konohagakure leads him not only to some great new friends, but also some deadly foes.","['Action', 'Adventure', 'Comedy', 'Super Power', 'Martial Arts', 'Shounen']",0.8256
9253,Steins;Gate,Steins;Gate,STEINS;GATE,9.11,"Thriller, Sci-Fi",TV,24.0,"Apr 6, 2011 to Sep 14, 2011",Spring 2011,2011,Spring,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, Nitroplus",White Fox,Visual novel,24 min. per ep.,PG-13 - Teens 13 or older,3.0,9,1771162,148452,"The self-proclaimed mad scientist Rintarou Okabe rents out a room in a rickety old building in Akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: Mayuri Shiina, his air-headed childhood friend, and Hashida Itaru, a perverted hacker nicknamed ""Daru."" The three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""Phone Microwave,"" which performs the strange function of morphing bananas into piles of green gel. Though miraculous in itself, the phenomenon doesn't provide anything concrete in Okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the Phone Microwave can send emails to the past, altering the flow of history. Adapted from the critically acclaimed visual novel by 5pb. and Nitroplus, Steins;Gate takes Okabe through the depths of scientific theory and practicality. Forced across the diverging threads of past and present, Okabe must shoulder the burdens that come with holding the key to the realm of time.",https://cdn.myanimelist.net/images/anime/5/73199.jpg,9.05,14.3871,11.908,Thriller,"steins;gate tv source: visual novel studio: white fox thriller, sci-fi the self-proclaimed mad scientist rintarou okabe rents out a room in a rickety old building in akihabara, where he indulges himself in his hobby of inventing prospective ""future gadgets"" with fellow lab members: mayuri shiina, his air-headed childhood friend, and hashida itaru, a perverted hacker nicknamed ""daru."" the three pass the time by tinkering with their most promising contraption yet, a machine dubbed the ""phone microwave,"" which performs the strange function of morphing bananas into piles of green gel. though miraculous in itself, the phenomenon doesn't provide anything concrete in okabe's search for a scientific breakthrough; that is, until the lab members are spurred into action by a string of mysterious happenings before stumbling upon an unexpected success—the phone microwave can send emails to the past, altering the flow of history. adapted from the critically acclaimed visual novel by 5pb. and nitroplus, steins;gate takes okabe through the depths of scientific theory and practicality. forced across the diverging threads of past and present, okabe must shoulder the burdens that come with holding the key to the realm of time.","['Thriller', 'Sci-Fi']",0.9891
19815,No Game No Life,"No Game, No Life",ノーゲーム・ノーライフ,8.2,"Game, Adventure, Comedy, Supernatural, Ecchi, Fantasy",TV,12.0,"Apr 9, 2014 to Jun 25, 2014",Spring 2014,2014,Spring,"Frontier Works, Media Factory, Movic, AT-X",Madhouse,Light novel,23 min. per ep.,PG-13 - Teens 13 or older,304.0,10,1751054,45990,"No Game No Life is a surreal comedy that follows Sora and Shiro, shut-in NEET siblings and the online gamer duo behind the legendary username ""Blank."" They view the real world as just another lousy game; however, a strange e-mail challenging them to a chess match changes everything—the brother and sister are plunged into an otherworldly realm where they meet Tet, the God of Games. The mysterious god welcomes Sora and Shiro to Disboard, a world where all forms of conflict—from petty squabbles to the fate of whole countries—are settled not through war, but by way of high-stake games. This system works thanks to a fundamental rule wherein each party must wager something they deem to be of equal value to the other party's wager. In this strange land where the very idea of humanity is reduced to child's play, the indifferent genius gamer duo of Sora and Shiro have finally found a real reason to keep playing games: to unite the sixteen races of Disboard, defeat Tet, and become the gods of this new, gaming-is-everything world.",https://cdn.myanimelist.net/images/anime/5/65187.jpg,8.16,14.3757,10.7362,Game,"no game no life no game, no life tv source: light novel studio: madhouse game, adventure, comedy, supernatural, ecchi, fantasy no game no life is a surreal comedy that follows sora and shiro, shut-in neet siblings and the online gamer duo behind the legendary username ""blank."" they view the real world as just another lousy game; however, a strange e-mail challenging them to a chess match changes everything—the brother and sister are plunged into an otherworldly realm where they meet tet, the god of games. the mysterious god welcomes sora and shiro to disboard, a world where all forms of conflict—from petty squabbles to the fate of whole countries—are settled not through war, but by way of high-stake games. this system works thanks to a fundamental rule wherein each party must wager something they deem to be of equal value to the other party's wager. in this strange land where the very idea of humanity is reduced to child's play, the indifferent genius gamer duo of sora and shiro have finally found a real reason to keep playing games: to unite the sixteen races of disboard, defeat tet, and become the gods of this new, gaming-is-everything world.","['Game', 'Adventure', 'Comedy', 'Supernatural', 'Ecchi', 'Fantasy']",0.8651
